key1,value1,key2,value2,displayValue1,largest_lrUnitNumber
30111,MLAKA,625,NOVI ZAGREB,"MLAKA, NOVI ZAGREB",4000
30113,STARJAK,625,NOVI ZAGREB,"STARJAK, NOVI ZAGREB",2000
30828,DEMERJE,625,NOVI ZAGREB,"DEMERJE, NOVI ZAGREB",27000
30829,DRAGONOŽEC,625,NOVI ZAGREB,"DRAGONOŽEC, NOVI ZAGREB",4000
30834,HORVATI,625,NOVI ZAGREB,"HORVATI, NOVI ZAGREB",4000
30836,KLARA,625,NOVI ZAGREB,"KLARA, NOVI ZAGREB",111000
30837,KUPINEČKI KRALJEVEC,625,NOVI ZAGREB,"KUPINEČKI KRALJEVEC, NOVI ZAGREB",23000
30839,ODRANSKI OBREŽ,625,NOVI ZAGREB,"ODRANSKI OBREŽ, NOVI ZAGREB",21000
30842,TRPUCI,625,NOVI ZAGREB,"TRPUCI, NOVI ZAGREB",4000
33044,BLATO NOVO,625,NOVI ZAGREB,"BLATO NOVO, NOVI ZAGREB",53000
33045,BLATO STARO,625,NOVI ZAGREB,"BLATO STARO, NOVI ZAGREB",11000
33048,BUZIN,625,NOVI ZAGREB,"BUZIN, NOVI ZAGREB",5000
33050,HRAŠĆE,625,NOVI ZAGREB,"HRAŠĆE, NOVI ZAGREB",37000
250137,JAKUŠEVEC,625,NOVI ZAGREB,"JAKUŠEVEC, NOVI ZAGREB",4000
230118,ZAPRUDSKI OTOK,625,NOVI ZAGREB,"ZAPRUDSKI OTOK, NOVI ZAGREB",23000
50247,ODRANSKI OBREŽ NOVI,625,NOVI ZAGREB,"ODRANSKI OBREŽ NOVI, NOVI ZAGREB",3000
250169,ODRA,625,NOVI ZAGREB,"ODRA, NOVI ZAGREB",8000
250178,LUČKO,625,NOVI ZAGREB,"LUČKO, NOVI ZAGREB",7000
250252,BREZOVICA,625,NOVI ZAGREB,"BREZOVICA, NOVI ZAGREB",6000
250241,ČEHI,625,NOVI ZAGREB,"ČEHI, NOVI ZAGREB",2000
21780,ZAPREŠIĆ,291,ZAPREŠIĆ,"ZAPREŠIĆ, ZAPREŠIĆ",7000
21781,PLUSKA,291,ZAPREŠIĆ,"PLUSKA, ZAPREŠIĆ",4000
21782,LADUČ,291,ZAPREŠIĆ,"LADUČ, ZAPREŠIĆ",8000
21783,DUBRAVICA,291,ZAPREŠIĆ,"DUBRAVICA, ZAPREŠIĆ",4000
21784,PROSINEC,291,ZAPREŠIĆ,"PROSINEC, ZAPREŠIĆ",1000
21785,KUPLJENOVO,291,ZAPREŠIĆ,"KUPLJENOVO, ZAPREŠIĆ",5000
21786,BISTRANSKO PODGORJE,291,ZAPREŠIĆ,"BISTRANSKO PODGORJE, ZAPREŠIĆ",9000
21787,KRAJ,291,ZAPREŠIĆ,"KRAJ, ZAPREŠIĆ",4000
21788,PUŠĆA,291,ZAPREŠIĆ,"PUŠĆA, ZAPREŠIĆ",6000
21789,BRDOVEC,291,ZAPREŠIĆ,"BRDOVEC, ZAPREŠIĆ",7000
21790,DONJA BISTRA,291,ZAPREŠIĆ,"DONJA BISTRA, ZAPREŠIĆ",6000
21791,GORNJA BISTRA,291,ZAPREŠIĆ,"GORNJA BISTRA, ZAPREŠIĆ",4000
21792,JAKOVLJE,291,ZAPREŠIĆ,"JAKOVLJE, ZAPREŠIĆ",5000
250001,POJATNO,291,ZAPREŠIĆ,"POJATNO, ZAPREŠIĆ",3000
250002,KUPLJENOVO - NOVO,291,ZAPREŠIĆ,"KUPLJENOVO - NOVO, ZAPREŠIĆ",3000
250250,HRUŠEVEC KUPLJENSKI,291,ZAPREŠIĆ,"HRUŠEVEC KUPLJENSKI, ZAPREŠIĆ",3000
21843,RAKITJE,262,SAMOBOR,"RAKITJE, SAMOBOR",5000
21844,KLOKOČEVEC SAMOBORSKI,262,SAMOBOR,"KLOKOČEVEC SAMOBORSKI, SAMOBOR",4000
21845,SAMOBOR,262,SAMOBOR,"SAMOBOR, SAMOBOR",8000
21846,PODVRH,262,SAMOBOR,"PODVRH, SAMOBOR",3000
21847,OTRUŠEVEC,262,SAMOBOR,"OTRUŠEVEC, SAMOBOR",4000
